command : ython3 tool/volatility3/vol.py -f memdump.mem windows.pslist --> liste des processus en mémoire

Volatility 3 Framework 2.28.0

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	File output
2516	628	svchost.exe	0xce0654ecb080	5	-	0	False	2024-09-10 05:30:05.000000 UTC	N/A	Disabled
2552	628	wlms.exe	0xce06571dd080	2	-	0	False	2024-09-10 05:30:06.000000 UTC	N/A	Disabled
2632	628	MsMpEng.exe	0xce06571e3080	7	-	0	False	2024-09-10 05:30:07.000000 UTC	N/A	Disabled
2760	628	svchost.exe	0xce0657293080	6	-	0	False	2024-09-10 05:30:12.000000 UTC	N/A	Disabled
2784	628	svchost.exe	0xce0654ed3080	8	-	0	False	2024-09-10 05:30:13.000000 UTC	N/A	Disabled
2868	628	svchost.exe	0xce06572d7080	14	-	0	False	2024-09-10 05:30:16.000000 UTC	N/A	Disabled
2180	628	svchost.exe	0xce0656ddd080	3	-	1	False	2024-09-10 05:31:50.000000 UTC	N/A	Disabled
2172	2072	sihost.exe	0xce06571d5080	5	-	1	False	2024-09-10 05:31:50.000000 UTC	N/A	Disabled
1640	628	svchost.exe	0xce0656f9c080	4	-	1	False	2024-09-10 05:31:50.000000 UTC	N/A	Disabled
752	1628	taskhostw.exe	0xce06574c3080	4	-	1	False	2024-09-10 05:31:50.000000 UTC	N/A	Disabled
2472	1628	MicrosoftEdgeU	0xce06570b1080	4	-	0	True	2024-09-10 05:31:51.000000 UTC	N/A	Disabled
1748	628	svchost.exe	0xce06571cf080	3	-	0	False	2024-09-10 05:31:54.000000 UTC	N/A	Disabled
928	1748	ctfmon.exe	0xce0656f4f080	9	-	1	False	2024-09-10 05:31:57.000000 UTC	N/A	Disabled
3580	628	svchost.exe	0xce06571a1080	5	-	0	False	2024-09-10 05:32:02.000000 UTC	N/A	Disabled
3508	628	svchost.exe	0xce06570b2080	3	-	0	False	2024-09-10 05:32:06.000000 UTC	N/A	Disabled
3856	628	svchost.exe	0xce0657309080	7	-	0	False	2024-09-10 05:32:27.000000 UTC	N/A	Disabled
3908	556	userinit.exe	0xce06575f1080	0	-	1	False	2024-09-10 05:32:30.000000 UTC	2024-09-10 05:33:50.000000 UTC	Disabled
3976	3908	explorer.exe	0xce0657486080	36	-	1	False	2024-09-10 05:32:32.000000 UTC	N/A	Disabled
4028	628	svchost.exe	0xce0656e30080	6	-	0	False	2024-09-10 05:32:36.000000 UTC	N/A	Disabled
2244	628	msdtc.exe	0xce065784b080	9	-	0	False	2024-09-10 05:33:19.000000 UTC	N/A	Disabled
1892	628	svchost.exe	0xce0656ca4080	8	-	0	False	2024-09-10 05:33:30.000000 UTC	N/A	Disabled
412	628	svchost.exe	0xce065791a080	1	-	0	False	2024-09-10 05:33:32.000000 UTC	N/A	Disabled
